folioviv,foliohog,clave,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,ero_1,ero_2,ero_3,ero_4,ero_5,ero_6,ero_tri
0100013602,1,Q003,09,08,07,06,05,04,3000,3000,3000,3000,3000,3000,8852.45
0100013602,1,Q001,09,08,07,06,05,04,20,0,0,0,0,0,9.83
0100013603,1,Q004,10,09,08,07,06,05,5000,5000,5000,5000,5000,5000,14754.09
0100013603,1,Q001,10,09,08,07,06,05,15000,20000,30000,20000,30000,20000,66393.44
0100026701,1,Q003,09,08,07,06,05,04,5000,5000,5000,5000,5000,5000,14754.09
0100026704,1,Q004,10,09,08,07,06,05,13000,13000,13000,13000,13000,13000,38360.65
0100027202,1,Q007,07,06,05,04,03,02,200,200,200,200,200,200,596.68
0100027202,1,Q004,07,06,05,04,03,02,2400,2400,2400,2400,2400,2400,7160.22
0100027202,1,Q003,07,06,05,04,03,02,0,1850,0,0,0,0,919.88
0100027202,1,Q006,07,06,05,04,03,02,685,0,0,0,0,0,340.6
0100027205,1,Q003,07,06,05,04,03,02,2000,2000,2000,2000,2000,2000,5966.85
0100045501,1,Q004,08,07,06,05,04,03,3500,3500,3500,3500,3500,3500,10271.73
0100045502,1,Q004,08,07,06,05,04,03,7000,7000,7000,7000,7000,7000,20543.47
0100054301,1,Q002,09,08,07,06,05,04,800,800,800,800,800,800,2347.82
0100054303,1,Q001,09,08,07,06,05,04,2000,1500,2000,2000,1500,1500,5135.86
0100054303,1,Q002,09,08,07,06,05,04,500,500,500,500,500,500,1467.39
0100054305,1,Q002,09,08,07,06,05,04,600,600,600,600,600,600,1760.86
0100058906,1,Q004,10,09,08,07,06,05,500,500,500,500,500,500,1467.39
0100067401,1,Q005,08,07,06,05,04,03,164,205,164,0,0,0,260.7
0100067401,1,Q004,08,07,06,05,04,03,1000,1250,1000,0,0,0,1589.67
0100067401,1,Q001,08,07,06,05,04,03,120,120,120,0,0,0,176.08
0100067402,1,Q003,08,07,06,05,04,03,10000,10000,10000,10000,10000,10000,29347.82
0100067403,1,Q001,08,07,06,05,04,03,275,275,7275,275,275,275,4230.97
0100067405,1,Q001,08,07,06,05,04,03,0,0,6000,2000,0,0,3913.04
0100067406,1,Q015,08,07,06,05,04,03,4000,0,0,0,0,0,1956.52
0100067406,1,Q010,08,07,06,05,04,03,0,200000,0,0,0,0,97826.08
0100067406,1,Q011,08,07,06,05,04,03,6500,0,0,0,0,0,3179.34
0100068902,1,Q004,10,09,08,07,06,05,1000,1250,1000,1000,1250,1000,3179.34
0100069803,1,Q003,09,08,07,06,05,04,4000,3500,3000,3000,3000,3000,9590.16
0100069803,1,Q001,09,08,07,06,05,04,3000,2000,3000,2000,3000,2000,7377.04
0100069804,1,Q001,09,08,07,06,05,04,9000,8000,8000,7000,5000,5000,20655.73
0100073402,1,Q001,08,07,06,05,04,03,2800,2800,2800,2800,2800,2800,8217.39
0100073403,1,Q001,08,07,06,05,04,03,4500,4500,4500,0,0,0,6603.26
0100073404,1,Q001,08,07,06,05,04,03,1500,2000,2000,0,0,0,2690.21
0100074002,1,Q012,10,09,08,07,06,05,3000,0,0,0,0,0,1467.39
0100074002,1,Q003,10,09,08,07,06,05,0,200,200,200,200,200,489.13
0100074002,1,Q001,10,09,08,07,06,05,0,4000,4000,4000,4000,4000,9782.6
0100074003,1,Q001,10,09,08,07,06,05,2400,3000,2400,2400,3000,2400,7630.43
0100074003,1,Q004,10,09,08,07,06,05,615,615,0,0,0,0,601.63
0100074003,1,Q002,10,09,08,07,06,05,0,1000,0,0,0,0,489.13
0100074004,1,Q004,10,09,08,07,06,05,100,100,100,100,100,100,293.47
0100074004,1,Q001,10,09,08,07,06,05,800,800,800,800,800,800,2347.82
0100074005,1,Q004,10,09,08,07,06,05,460,575,0,0,0,0,506.24
0100076402,1,Q014,08,07,06,05,04,03,0,3900,1700,5800,800,3600,7728.26
0100076402,1,Q004,08,07,06,05,04,03,3700,3700,3700,3700,3700,3700,10858.69
0100076402,1,Q002,08,07,06,05,04,03,200,200,300,100,200,100,538.04
0100076402,1,Q001,08,07,06,05,04,03,3000,3000,3000,3000,3000,3000,8804.34
0100076403,1,Q014,08,07,06,05,04,03,4200,0,0,0,0,0,2054.34
0100076403,1,Q001,08,07,06,05,04,03,1000,1000,0,0,0,0,978.26
0100076404,1,Q001,08,07,06,05,04,03,3500,300,3000,0,0,0,3326.08
0100076405,1,Q004,09,08,07,06,05,04,7000,7000,7000,7000,7000,7000,20543.47
0100076406,1,Q004,08,07,06,05,04,03,800,800,800,0,0,0,1173.91
0100080001,1,Q007,10,09,08,07,06,05,1400,1400,1400,1400,1400,1400,4108.69
0100080001,1,Q001,10,09,08,07,06,05,2000,2000,2000,2000,2000,2000,5869.56
0100080003,1,Q001,10,09,08,07,06,05,6500,6500,6500,6500,6500,6500,19076.08
0100080004,1,Q001,10,09,08,07,06,05,6000,6000,6000,6000,6000,6000,17608.69
0100080005,1,Q002,10,09,08,07,06,05,25800,25800,25800,25800,25800,25800,75717.39
0100080005,1,Q004,10,09,08,07,06,05,2500,2500,2500,2500,2500,2500,7336.95
0100082606,1,Q001,09,08,07,06,05,04,5000,5000,5000,5000,5000,0,12295.08
0100082606,1,Q005,09,08,07,06,05,04,6000,6000,6000,6000,6000,6000,17704.91
0100082606,1,Q003,09,08,07,06,05,04,6000,6000,6000,6000,6000,6000,17704.91
0100084702,1,Q004,09,08,07,06,05,04,4000,0,0,0,0,0,1967.21
0100084702,1,Q003,09,08,07,06,05,04,2000,2000,1000,2000,2000,2000,5409.83
0100084702,1,Q011,09,08,07,06,05,04,640,640,640,640,640,640,1888.52
0100084704,1,Q001,09,08,07,06,05,04,800,800,0,0,0,0,786.88
0100084704,1,Q004,09,08,07,06,05,04,1000,1000,1000,1000,1000,1000,2950.81
0100084705,1,Q003,09,08,07,06,05,04,2500,2500,2500,2500,2500,2500,7377.04
0100084705,1,Q001,09,08,07,06,05,04,15000,15000,15000,15000,15000,15000,44262.29
0100084705,1,Q007,09,08,07,06,05,04,1500,1500,1500,1500,1500,1500,4426.22
0100084705,1,Q011,09,08,07,06,05,04,2900,2900,2900,2900,2900,2900,8557.37
0100084706,1,Q001,10,09,08,07,06,05,3200,3200,3200,3200,3200,3200,9442.62
0100095604,1,Q001,10,09,08,07,06,05,2200,2750,2200,2200,2750,2200,7032.78
0100095604,1,Q009,10,09,08,07,06,05,1320,1650,1320,1320,1650,1320,4219.67
0100095604,1,Q003,10,09,08,07,06,05,0,3800,600,600,600,600,3049.18
0100095606,1,Q001,09,08,07,06,05,04,1200,1200,1200,1200,1200,1200,3540.98
0100102202,1,Q012,09,08,07,06,05,04,6675,6675,6675,6675,6675,6675,19914.36
0100102202,1,Q004,09,08,07,06,05,04,1500,1500,1500,0,0,0,2237.56
0100102206,2,Q001,10,09,08,07,06,05,200,200,200,200,200,200,596.68
0100104701,1,Q001,09,08,07,06,05,04,5000,0,0,0,0,0,2459.01
0100104702,1,Q004,10,09,08,07,06,05,1500,1500,1500,1500,1500,1500,4426.22
0100104705,1,Q014,09,08,07,06,05,04,1060,1060,1060,1060,1060,1060,3127.86
0100104705,1,Q001,09,08,07,06,05,04,10000,0,0,0,0,0,4918.03
0100113502,1,Q001,08,07,06,05,04,03,1500,1500,1500,1500,1500,1500,4402.17
0100113505,1,Q001,08,07,06,05,04,03,0,0,0,400,400,400,586.95
0100113506,1,Q001,08,07,06,05,04,03,3000,3000,3000,3000,3000,3000,8804.34
0100154203,1,Q002,09,08,07,06,05,04,13000,0,0,0,0,0,6464.08
0100170501,1,Q014,08,07,06,05,04,03,0,200,0,0,0,0,97.82
0100170501,1,Q003,08,07,06,05,04,03,16000,15000,10000,9000,13000,12000,36684.78
0100170501,1,Q002,08,07,06,05,04,03,1000,0,0,0,0,0,489.13
0100170502,1,Q005,08,07,06,05,04,03,171,180,0,0,0,0,171.68
0100170502,1,Q004,08,07,06,05,04,03,428,428,0,0,0,0,418.69
0100170502,1,Q003,08,07,06,05,04,03,11700,12000,12000,13000,11000,12000,35070.65
0100170502,1,Q002,08,07,06,05,04,03,0,10000,0,0,0,0,4891.3
0100170505,1,Q003,08,07,06,05,04,03,2000,2000,2000,2000,2000,2000,5869.56
0100170505,1,Q004,08,07,06,05,04,03,8500,8500,0,0,0,0,8315.21
0100175305,1,Q014,08,07,06,05,04,03,0,50,50,110,50,550,396.19
